years_experience,skills_match_score,education_level,project_count,resume_length
2,52.9,2,2,501
5,95.8,2,9,586
3,30.0,1,2,278
4,58.7,3,9,378
4,61.9,2,9,413
5,56.8,2,8,496
10,70.6,2,9,437
7,70.0,1,11,491
3,61.9,1,6,385
1,43.2,2,5,321
3,73.1,2,13,224
5,88.4,0,3,655
0,59.6,2,7,579
14,72.9,1,20,597
14,100.0,1,17,900
14,100.0,3,9,900
0,40.4,1,4,251
11,93.0,1,8,804
7,34.2,2,13,676
9,80.6,1,17,694
9,79.1,2,11,592
2,81.7,1,9,553
15,88.9,1,11,835
9,84.5,1,12,763
0,69.0,0,3,526
2,55.6,1,8,478
5,55.3,1,6,466
8,71.2,2,5,694
4,51.2,1,7,436
13,73.4,1,13,859
11,74.6,1,7,672
15,83.7,2,15,599
9,40.1,1,13,718
13,77.1,2,8,773
3,66.9,1,5,388
3,64.1,3,10,729
14,100.0,3,17,761
12,100.0,1,14,665
15,88.9,1,19,654
4,83.2,2,12,397
2,65.7,1,5,220
14,87.7,1,19,693
12,82.3,1,7,726
12,75.3,2,17,632
5,62.7,2,13,368
7,84.6,1,7,530
5,85.3,1,11,330
15,78.9,1,25,873
3,61.5,1,5,462
3,57.0,0,8,412
0,45.4,1,6,402
13,80.1,2,11,745
11,92.4,2,18,545
0,31.6,2,8,229
9,62.4,2,8,738
3,70.5,1,4,517
15,91.0,1,9,869
15,100.0,1,11,844
10,84.2,2,12,486
0,72.8,2,4,542
5,72.0,1,10,571
14,84.9,1,19,900
15,84.8,0,14,875
15,100.0,2,9,900
0,48.4,3,5,293
12,76.7,2,9,635
7,70.1,2,8,526
1,70.2,2,4,472
13,62.5,1,15,861
14,100.0,0,17,741
6,93.2,2,12,401
13,74.6,2,15,781
0,60.0,2,6,175
15,93.4,1,17,707
0,48.9,1,7,482
5,75.7,2,7,362
12,94.0,1,11,736
2,64.5,1,9,192
4,100.0,2,9,463
4,77.9,1,7,489
3,84.6,2,5,622
1,60.3,2,7,322
15,98.0,1,23,870
5,68.6,1,8,528
14,73.9,2,18,652
5,60.5,0,9,627
5,73.7,1,11,714
11,98.4,2,13,645
12,97.4,1,12,601
10,90.7,1,15,630
14,95.8,1,23,816
6,69.9,1,8,598
11,96.8,3,13,768
4,60.0,0,5,485
9,80.2,2,7,705
2,66.9,1,4,395
11,77.6,0,11,798
1,30.6,0,2,348
10,71.6,2,11,523
8,68.7,1,9,445
0,61.8,2,3,350
0,65.3,1,5,492
13,97.8,1,23,563
12,74.1,0,13,797
8,80.5,3,10,647
10,100.0,3,15,513
5,63.0,1,8,401
13,85.5,0,14,803
11,76.4,1,15,823
9,67.5,2,10,668
1,50.0,1,9,355
6,80.1,1,9,503
9,88.4,1,13,546
10,92.8,2,19,386
2,86.2,2,8,459
2,41.1,3,6,371
11,93.5,1,16,555
8,57.2,2,7,697
5,80.1,2,15,397
13,100.0,1,12,698
6,70.1,2,14,328
6,69.8,1,12,484
8,89.9,2,15,448
7,68.8,1,14,471
6,60.3,1,7,537
7,66.5,2,6,694
6,81.1,1,8,611
9,59.8,1,15,578
10,82.3,0,8,632
6,55.0,1,10,474
4,83.2,2,6,531
9,69.7,1,11,781
15,91.6,1,16,900
7,80.9,2,14,729
11,99.4,1,14,731
12,81.8,1,11,873
5,63.4,1,8,418
8,68.6,0,8,515
4,77.8,0,1,490
14,100.0,2,12,900
14,79.0,2,17,900
9,95.6,1,15,740
7,100.0,3,11,326
12,79.5,1,16,728
6,83.1,1,12,536
1,52.7,2,2,337
5,57.5,1,7,712
1,64.0,2,5,586
2,63.4,2,11,422
0,52.2,1,5,388
4,39.7,1,9,419
15,91.7,1,18,760
10,87.0,1,12,641
15,99.0,2,12,893
8,44.9,2,11,707
7,91.3,2,11,654
12,69.0,1,14,694
6,58.9,1,9,441
3,41.0,2,13,377
6,73.6,1,8,737
4,80.3,1,3,566
6,96.8,0,14,383
15,85.5,1,13,840
15,94.0,2,11,900
3,63.0,2,8,355
4,63.1,1,7,571
8,79.5,1,9,528
6,43.8,1,8,589
0,38.7,0,4,386
12,95.8,2,11,699
10,79.2,3,14,649
6,87.9,1,10,523
12,89.7,2,17,564
12,91.7,2,13,728
6,46.0,3,10,419
13,55.7,1,16,539
7,73.9,2,9,257
11,78.8,0,10,654
3,48.7,1,9,474
7,58.4,1,10,679
0,67.1,1,7,419
6,64.7,1,12,228
15,58.3,1,13,891
11,100.0,1,10,747
1,47.6,0,1,400
13,92.4,2,16,752
14,100.0,1,11,839
7,70.2,2,13,621
12,58.6,0,15,900
11,69.7,2,6,579
5,49.5,2,15,525
7,58.9,1,8,375
0,55.6,2,4,372
14,87.4,2,13,716
0,72.9,1,6,228
3,71.9,1,8,292
10,80.3,1,11,615
5,65.9,1,12,504
4,50.4,2,7,525
15,90.6,0,14,647
3,52.2,1,9,343
14,68.4,2,16,823
12,79.3,2,9,709
10,86.7,1,12,455
15,70.8,1,20,831
9,73.1,1,6,492
4,59.9,2,7,446
12,90.8,3,13,605
13,60.7,0,11,716
14,65.6,1,10,900
1,56.3,2,6,381
10,73.3,2,10,640
13,93.2,1,15,831
1,29.8,1,8,574
9,56.8,1,11,717
14,87.9,2,14,709
3,70.9,2,6,430
3,94.9,1,6,585
5,66.8,1,6,531
14,96.8,1,13,528
15,100.0,2,11,900
10,67.5,1,16,531
6,51.3,0,3,372
7,74.1,1,10,418
0,79.9,2,7,583
7,49.2,1,8,505
5,59.5,2,11,546
0,73.6,1,6,311
0,51.5,1,6,237
12,78.3,2,10,900
0,65.2,2,5,332
4,37.7,1,9,317
14,68.3,1,15,900
12,84.8,3,15,460
6,88.9,1,8,399
12,100.0,2,16,725
11,71.7,1,8,677
10,63.2,1,8,712
14,50.2,1,13,837
9,52.3,1,15,654
15,97.3,2,15,812
15,89.8,2,17,760
9,57.5,2,12,783
1,41.4,1,4,310
9,85.1,1,10,782
15,91.4,2,12,825
12,67.3,1,13,626
11,89.0,1,12,817
15,85.0,1,11,886
8,65.2,0,8,553
12,83.0,2,13,642
12,78.7,2,14,400
1,51.0,0,5,395
0,57.6,1,3,351
13,100.0,2,25,584
5,81.0,1,6,570
10,50.7,1,5,605
7,93.0,3,11,504
2,53.0,0,5,291
4,72.3,1,12,611
11,62.9,1,12,657
8,76.9,0,9,652
0,41.0,2,9,423
12,95.9,2,13,723
10,94.1,0,13,813
0,37.4,2,5,635
6,66.8,1,8,554
0,55.1,1,5,452
0,51.4,0,6,460
4,52.3,1,3,436
3,61.5,1,3,660
9,69.3,1,7,486
15,72.4,1,15,755
13,78.4,2,16,900
5,56.9,1,11,313
0,64.5,2,9,342
7,75.7,2,2,544
2,74.6,1,4,578
1,73.4,2,6,461
15,100.0,2,18,900
12,85.8,2,14,877
10,75.0,3,11,497
14,90.4,1,11,810
14,65.4,1,10,798
6,85.3,2,13,408
5,82.3,1,7,686
5,62.7,1,8,492
15,81.4,1,16,776
11,97.4,1,14,534
6,72.2,2,11,367
5,67.3,1,6,566
5,65.3,1,10,567
13,69.7,1,15,900
1,57.5,0,4,374
15,72.2,0,9,899
5,53.1,2,11,555
8,63.6,1,7,629
13,80.9,0,14,751
1,100.0,1,4,492
11,79.5,1,12,757
14,100.0,2,9,900
15,74.7,2,17,900
15,100.0,1,12,651
15,92.4,1,17,900
4,59.2,1,9,338
12,73.5,1,14,515
7,70.6,1,10,624
14,76.8,1,16,836
0,87.8,3,6,283
13,78.9,1,13,578
7,66.1,1,6,309
11,52.3,1,17,606
10,79.4,0,5,854
0,49.0,1,3,150
9,100.0,3,16,693
3,72.7,1,6,577
4,75.7,2,10,601
4,53.9,2,14,614
4,62.0,0,6,372
0,100.0,2,7,417
4,82.3,1,10,544
3,67.9,1,4,477
8,71.6,1,16,403
11,81.7,1,17,719
12,69.9,2,10,831
2,49.3,1,7,433
4,72.5,1,12,469
9,70.5,1,12,577
4,71.1,2,6,429
13,83.8,3,18,687
6,86.7,1,12,496
2,64.9,2,6,327
12,78.8,2,12,725
13,90.7,1,18,617
11,100.0,1,10,741
9,45.0,1,9,538
0,37.7,0,2,465
6,52.5,2,8,450
2,72.7,1,5,380
6,51.3,2,8,380
13,81.8,1,15,900
6,100.0,0,11,551
7,86.0,0,11,535
12,83.1,3,13,649
4,57.7,0,8,588
0,46.8,1,4,238
1,60.4,1,4,240
10,99.4,2,15,817
8,70.7,2,10,559
2,86.3,1,7,427
7,66.5,1,8,679
10,100.0,3,15,548
8,100.0,2,11,653
5,55.8,0,12,593
15,87.6,2,13,702
5,55.3,2,8,441
9,77.3,2,12,646
8,67.4,1,11,585
1,62.1,1,16,378
6,96.9,2,11,734
15,100.0,2,16,900
6,90.5,2,9,369
0,75.1,3,5,358
2,54.1,3,7,450
14,79.6,3,15,817
9,98.3,0,8,485
0,68.3,2,11,421
4,37.0,1,7,568
15,100.0,3,20,630
12,54.7,1,9,667
13,89.3,2,15,839
1,61.1,1,7,268
13,86.8,1,13,687
7,73.2,1,5,403
11,96.0,2,11,660
6,65.3,1,13,716
12,98.6,1,15,738
12,55.6,1,12,681
1,49.3,2,8,339
8,41.5,1,11,273
1,62.8,1,5,452
4,31.2,2,10,333
2,85.8,3,12,457
2,88.0,3,3,248
15,63.2,1,12,690
2,67.0,2,12,604
7,60.8,2,14,557
15,64.5,0,12,817
5,78.4,1,6,582
6,57.1,2,10,468
4,96.1,1,7,572
4,64.4,2,11,439
7,90.2,2,5,636
6,66.7,2,6,306
1,52.4,1,5,228
10,100.0,0,9,767
0,45.7,2,4,244
13,95.3,3,14,631
4,65.1,1,4,562
6,94.6,3,5,487
9,71.1,0,8,541
6,81.6,1,8,510
14,98.2,0,16,799
12,58.2,1,9,859
4,41.2,1,11,660
7,79.7,2,6,605
11,90.2,3,13,773
9,55.5,1,11,620
5,55.4,1,8,398
10,85.3,2,15,755
3,57.5,2,6,618
11,88.0,2,17,755
10,64.8,1,9,620
5,50.3,1,10,609
2,82.6,1,4,346
7,64.8,1,11,744
12,88.8,1,5,824
0,55.8,1,4,383
12,71.8,2,15,518
5,77.0,0,12,453
8,81.6,1,11,806
5,75.2,1,6,410
1,51.9,2,5,488
2,81.3,2,8,304
6,48.8,0,5,474
15,83.2,1,17,753
12,100.0,1,15,785
3,50.6,1,4,365
2,52.1,0,4,456
3,66.5,1,7,423
4,83.0,1,11,466
4,61.2,2,9,443
3,59.0,3,3,557
8,91.7,2,20,772
0,64.8,1,3,445
13,86.1,1,11,684
13,69.4,1,12,900
4,67.4,1,4,651
15,95.1,2,18,686
13,91.7,0,14,646
14,69.1,1,15,730
3,64.6,1,8,415
13,78.6,1,9,760
10,77.5,2,13,733
5,89.4,2,9,496
5,62.2,1,13,538
1,48.5,2,10,208
9,81.3,2,11,548
7,72.2,2,9,501
9,87.1,2,13,632
7,54.0,1,9,411
3,66.3,2,8,373
11,62.0,2,23,277
11,86.4,1,11,546
1,82.9,2,7,251
8,54.8,0,13,639
13,88.3,1,15,674
0,30.4,1,5,208
9,76.8,1,11,574
5,100.0,2,9,590
13,80.2,1,11,782
9,74.7,2,14,404
4,92.6,2,7,393
13,84.7,1,11,882
10,88.7,2,14,587
3,53.8,2,14,482
14,100.0,2,14,696
0,30.8,2,4,457
13,58.9,1,12,608
8,74.4,2,9,365
5,53.4,0,3,681
15,100.0,1,11,831
2,82.2,1,8,363
10,62.4,1,16,604
13,71.0,0,13,681
14,79.2,2,14,900
10,79.4,2,4,748
15,76.5,2,18,670
11,72.6,2,17,678
4,50.9,1,4,488
7,93.5,1,9,624
14,93.5,1,16,723
6,72.5,2,8,604
15,70.7,3,17,605
1,61.2,2,6,196
6,90.0,1,7,605
7,64.7,1,7,417
6,78.2,1,12,740
8,80.6,1,10,692
6,58.6,2,9,592
8,88.6,3,16,553
0,85.0,2,11,583
13,96.2,0,13,696
8,75.0,2,21,680
9,74.8,0,14,561
2,72.5,0,7,498
12,96.3,2,13,766
10,98.7,2,13,615
13,58.6,2,18,717
9,72.7,1,12,669
0,37.2,0,6,504
10,85.7,2,13,620
2,99.5,1,7,376
11,78.9,1,7,873
15,79.4,0,15,808
7,85.6,1,14,386
11,52.3,3,10,730
8,40.0,1,10,394
1,70.0,2,10,277
3,84.0,3,10,238
9,87.6,3,17,545
5,79.5,1,8,525
10,69.7,1,13,535
7,87.4,1,2,433
4,57.9,2,7,428
0,79.0,1,3,168
6,71.6,1,9,365
7,55.9,2,8,525
14,65.7,0,6,770
10,90.7,2,11,549
4,44.5,1,8,526
12,82.8,3,12,750
2,68.8,2,8,528
5,70.0,1,11,436
4,78.6,1,9,378
5,67.2,2,9,561
15,100.0,1,22,900
9,75.4,2,14,659
13,82.3,1,17,671
0,59.3,2,6,330
15,75.7,2,13,666
9,70.0,2,12,718
4,65.0,2,8,150
7,53.4,1,12,605
3,85.0,2,11,529
3,48.1,1,10,555
13,100.0,1,8,599
4,73.8,1,6,469
15,71.4,2,16,793
4,71.3,1,8,373
15,81.3,1,11,887
12,70.2,2,14,595
5,56.9,1,7,255
9,81.7,2,17,625
1,63.0,1,4,182
7,54.6,2,8,449
8,61.9,0,8,486
1,66.7,2,9,386
14,76.8,1,8,659
8,66.8,2,9,678
3,47.7,0,6,515
0,77.7,1,2,385
10,71.8,1,8,778
11,84.2,1,11,819
13,80.1,1,19,612
6,61.7,2,8,435
12,91.8,2,24,609
6,100.0,1,6,758
10,90.8,2,11,604
8,55.5,1,9,585
6,90.5,1,11,495
4,50.8,1,5,393
0,74.2,1,5,397
2,55.9,2,12,464
3,67.4,1,4,589
0,77.5,2,5,385
1,56.3,1,4,487
0,52.2,0,3,420
5,78.5,1,7,671
3,88.6,3,8,556
5,68.7,0,8,410
3,51.1,1,6,487
10,90.7,3,14,720
6,68.6,1,7,614
0,72.2,1,4,250
2,61.4,2,3,359
8,31.4,1,8,601
12,89.8,1,11,713
10,69.9,3,15,406
7,75.9,2,10,719
2,82.0,2,6,246
2,82.8,1,7,343
12,53.1,2,22,665
2,57.7,1,6,327
13,85.1,1,9,821
4,43.4,2,7,619
15,100.0,2,22,834
8,54.7,0,11,532
5,55.1,1,12,269
14,74.4,0,12,789
2,53.3,0,8,662
13,90.8,1,12,669
10,97.0,2,11,665
12,97.5,3,9,516
4,67.4,1,5,567
1,82.6,0,6,300
15,100.0,2,12,827
13,76.6,0,20,896
12,79.7,0,12,620
0,74.9,3,10,323
12,70.0,0,13,677
1,79.4,0,8,512
12,88.2,2,16,576
11,75.9,1,14,900
8,35.3,1,8,781
0,40.3,0,3,407
0,70.7,1,1,477
8,57.4,2,14,424
4,34.5,1,9,303
8,60.4,2,11,574
1,100.0,2,9,243
12,97.6,1,9,535
13,98.1,1,16,686
8,94.9,2,11,415
14,77.9,2,14,629
12,76.2,1,12,527
3,81.8,1,8,454
15,85.8,0,15,762
4,60.3,2,10,575
15,74.6,0,17,644
6,69.1,2,8,396
10,87.1,2,18,805
10,48.9,2,15,657
12,90.1,2,15,547
13,99.4,3,15,588
15,100.0,2,14,780
9,76.8,1,6,460
7,56.7,2,11,576
2,71.6,1,3,520
5,37.3,2,17,614
4,51.0,1,5,487
15,81.9,2,19,832
5,98.1,3,8,427
12,82.0,1,9,575
4,63.0,2,6,460
7,37.8,0,6,664
10,80.2,2,12,782
11,58.0,0,10,823
13,100.0,2,20,567
0,73.0,2,5,150
13,91.1,1,9,651
11,89.0,2,15,614
9,50.2,1,5,736
1,46.1,0,1,374
12,86.4,2,16,763
8,64.7,1,5,569
11,88.6,1,10,738
7,61.3,0,9,490
3,73.0,1,4,441
0,62.7,1,6,195
0,69.5,0,6,567
0,54.8,1,3,380
15,76.0,1,18,853
1,56.6,0,4,362
2,60.7,0,2,425
9,68.4,1,8,597
0,72.9,3,6,338
0,75.6,1,4,348
9,81.2,2,9,552
1,91.3,2,6,468
10,50.9,0,5,596
8,81.1,1,14,388
6,59.3,2,11,349
13,55.9,1,9,728
12,81.7,1,15,659
13,90.9,2,18,900
13,100.0,0,14,900
12,98.7,1,12,682
6,67.7,2,8,584
5,88.8,2,14,531
14,59.2,0,11,809
15,92.5,3,24,595
4,54.0,0,7,430
3,37.8,1,8,503
12,99.4,1,14,877
11,100.0,2,19,501
12,65.5,0,11,636
13,95.7,1,19,821
13,80.2,0,12,731
7,25.3,0,14,589
1,44.8,2,13,332
11,93.9,1,15,557
4,81.9,2,12,646
1,60.8,1,9,522
13,85.5,0,20,787
13,71.2,2,11,773
0,42.0,3,10,342
2,61.2,1,6,578
10,96.4,2,15,450
12,82.7,1,18,610
12,97.6,3,25,592
11,90.5,2,6,570
0,51.0,1,8,343
0,72.2,1,4,409
7,70.0,1,7,622
14,93.7,1,15,724
6,99.2,2,14,794
15,99.6,1,16,900
7,47.6,1,13,571
2,65.7,2,7,240
14,96.4,2,17,804
7,94.1,2,16,507
10,71.3,1,10,631
6,67.1,1,13,471
13,69.2,3,17,751
0,71.3,1,6,150
13,65.2,1,11,693
2,59.1,2,10,300
14,89.3,1,10,835
1,50.7,0,2,269
11,84.2,1,11,645
7,88.9,2,13,723
7,90.7,3,14,433
11,71.6,1,15,738
15,100.0,2,20,778
1,67.6,1,2,416
0,50.5,1,2,342
2,52.8,3,8,453
15,100.0,1,15,699
12,100.0,3,19,622
14,80.5,1,13,669
4,88.9,2,5,570
9,85.3,1,8,584
14,61.9,0,14,861
12,96.7,2,17,629
9,87.1,1,13,656
12,68.7,2,16,649
8,75.5,1,8,528
3,45.4,2,7,435
13,71.5,2,11,669
14,100.0,2,15,809
4,84.2,1,16,670
12,99.3,1,9,716
9,80.7,1,12,613
11,60.6,1,14,865
15,70.2,0,20,834
0,65.5,3,4,651
13,47.2,0,13,704
11,85.4,2,17,822
11,75.1,1,9,744
11,94.0,3,14,625
5,62.2,1,6,538
8,74.1,1,12,900
14,100.0,1,11,716
1,48.3,0,4,419
12,100.0,3,24,674
13,95.5,2,21,724
13,84.2,2,16,900
4,77.6,1,11,449
13,89.7,3,12,802
7,86.6,1,5,559
4,75.5,1,5,508
8,75.7,2,12,582
11,86.6,2,9,761
12,88.8,0,10,831
12,84.8,2,14,617
15,71.1,1,16,704
4,69.1,2,13,555
10,75.8,1,12,589
4,80.3,2,11,335
3,63.8,1,5,196
4,61.9,3,9,487
12,93.4,2,10,801
1,35.3,1,5,321
5,65.4,1,9,305
10,90.6,1,12,585
14,83.0,2,12,669
12,90.0,2,22,755
4,71.6,1,9,394
10,66.9,1,11,778
10,84.9,1,13,548
10,82.1,0,15,679
13,99.7,1,12,824
2,31.3,1,9,222
8,71.1,1,11,519
11,88.8,0,11,862
11,50.6,2,11,648
5,64.1,2,6,691
15,76.0,1,14,740
0,73.0,1,7,150
8,100.0,0,6,504
1,52.8,0,2,329
7,90.3,2,11,820
13,97.6,3,20,704
3,80.8,2,5,502
4,84.0,1,10,432
14,61.5,2,18,612
12,94.7,2,9,767
1,66.7,1,6,384
11,68.1,2,15,672
4,61.5,2,8,483
4,55.3,1,8,386
5,87.2,1,6,408
7,85.9,1,10,559
10,72.0,0,16,900
2,47.3,2,9,603
11,73.9,0,7,592
3,88.0,2,9,562
1,72.3,1,7,353
11,82.3,1,16,832
0,69.8,1,7,385
3,88.1,2,6,380
5,73.8,1,11,299
9,78.1,1,10,810
15,96.2,3,15,700
1,67.2,2,10,347
12,70.1,1,13,754
1,44.7,2,9,587
3,74.9,3,12,474
3,70.3,2,9,385
2,72.1,1,3,309
12,83.3,2,11,534
7,89.1,1,6,598
8,82.5,3,13,727
4,67.3,3,7,362
1,56.5,0,6,569
9,87.6,2,16,487
15,59.5,3,20,540
10,78.2,1,8,668
14,75.6,1,18,490
12,67.7,1,16,677
5,82.4,2,12,483
0,42.5,1,6,481
14,83.9,1,11,863
8,78.5,1,16,588
8,91.1,1,11,689
11,87.8,1,15,596
5,42.5,1,11,570
6,64.4,2,10,700
6,69.9,1,14,448
7,95.1,1,14,786
14,81.7,0,10,839
14,79.5,1,17,872
2,59.2,2,7,433
15,100.0,1,11,604
7,80.4,3,10,403
12,94.1,2,10,620
13,100.0,2,12,712
0,51.7,0,3,384
7,63.9,1,6,528
6,56.7,2,10,330
8,97.2,2,4,480
11,78.8,1,18,664
14,86.8,2,18,835
14,85.1,2,10,900
15,98.0,0,15,676
0,48.9,1,3,453
2,82.5,1,5,370
5,51.7,2,9,331
9,66.7,3,17,354
8,100.0,1,10,566
6,64.9,2,11,741
9,50.5,1,9,586
0,44.8,1,9,298
4,71.7,2,7,659
12,100.0,2,18,683
11,70.4,1,10,661
13,100.0,2,16,774
5,55.2,1,11,446
14,74.1,1,20,720
7,100.0,1,6,647
6,57.2,1,8,433
10,51.5,2,11,565
10,75.4,2,19,649
13,97.5,2,11,858
6,96.1,3,11,603
10,48.9,2,15,617
8,93.0,2,9,791
10,50.9,2,14,900
7,61.4,2,10,514
2,37.0,3,9,267
1,64.1,1,10,192
7,64.6,2,13,499
3,63.3,1,6,422
0,71.0,1,5,184
10,52.7,2,14,551
11,59.1,1,10,900
15,67.1,1,16,850
0,46.4,1,2,150
10,83.4,2,6,552
9,51.6,0,13,814
9,69.8,1,5,689
4,56.7,1,6,264
9,68.5,1,5,747
8,84.1,1,8,645
6,56.6,3,6,641
13,83.9,2,16,866
4,69.4,2,13,597
9,54.8,1,10,572
6,83.9,1,10,455
3,76.8,2,10,577
2,44.0,2,6,310
7,93.2,2,9,460
15,65.5,1,22,720
11,90.9,2,14,656
15,81.7,2,12,723
12,99.8,1,6,694
14,61.8,1,12,900
7,88.2,1,8,449
2,68.0,1,8,466
2,79.0,1,3,290
10,57.3,1,15,366
7,77.4,1,9,579
4,78.7,3,11,547
14,81.4,0,12,646
5,53.7,1,4,575
6,78.0,1,12,462
7,66.1,3,16,570
0,77.0,2,7,355
14,100.0,1,11,808
3,71.0,1,7,445
0,75.3,1,4,225
4,69.9,2,5,511
8,66.5,1,10,446
8,95.6,1,11,602
9,57.8,2,22,707
13,100.0,3,20,900
1,61.9,2,8,586
3,81.4,3,8,610
6,72.4,1,6,542
8,69.9,1,11,427
4,72.7,1,1,473
8,60.7,2,9,618
9,56.9,1,7,304
5,100.0,1,7,325
14,59.6,1,11,736
6,85.0,2,8,522
8,76.8,1,8,704
8,76.9,1,5,555
12,84.8,1,13,706
2,57.3,1,4,243
9,100.0,1,8,763
6,76.6,1,13,537
12,64.9,1,14,726
12,90.7,2,16,631
7,73.0,1,18,517
8,84.9,2,12,731
2,54.7,1,8,350
14,69.7,1,10,900
7,34.3,3,5,502
0,59.0,2,7,422
7,84.4,2,9,751
5,58.2,2,7,203
3,62.1,2,12,462
9,76.2,0,10,602
0,65.3,1,4,482
6,78.0,2,14,574
6,93.3,1,16,713
6,90.3,1,16,347
14,78.8,2,15,900
11,56.0,0,10,683
9,83.0,1,11,468
9,100.0,0,11,597
5,88.6,1,9,496
11,61.0,1,13,644
0,51.8,3,8,456
5,62.4,0,10,679
4,85.8,0,7,416
13,95.8,3,17,852
0,67.3,2,4,300
11,72.4,2,14,607
8,53.4,0,9,748
13,97.6,3,22,828
7,71.1,2,6,535
2,98.4,1,4,511
11,100.0,1,10,514
12,92.7,2,14,518
7,35.2,2,14,667
13,93.2,0,13,826
15,79.5,0,13,817
1,53.2,1,7,530
15,67.4,1,24,791
13,65.8,1,12,712
7,72.2,2,14,535
15,86.3,1,7,703
6,58.8,1,7,623
3,72.8,1,4,489
5,100.0,2,11,564
4,63.8,1,7,428
4,25.7,2,13,498
1,56.8,2,8,392
3,79.6,2,9,319
1,79.4,2,5,205
5,74.0,0,11,326
15,100.0,1,19,894
7,69.4,2,14,444
5,63.2,1,4,678
12,64.6,0,10,640
0,36.0,3,9,380
3,44.1,1,3,355
6,68.0,1,6,512
2,75.5,1,6,202
11,64.3,2,20,863
13,88.8,1,14,649
1,78.7,2,4,325
15,100.0,1,11,871
11,79.2,1,18,691
6,83.5,3,12,640
15,85.8,2,13,900
4,58.4,1,9,274
0,54.5,2,8,167
12,96.6,0,19,824
14,76.4,1,13,661
8,96.7,2,11,456
10,57.9,2,14,626
0,99.4,1,6,326
6,68.9,1,5,424
10,64.4,2,9,619
8,86.5,2,15,644
12,88.3,1,13,698
7,73.0,1,9,568
13,88.7,2,16,657
5,96.3,2,14,567
1,60.2,2,5,350
12,100.0,1,16,769
7,93.4,1,12,432
4,79.0,2,15,494
3,80.8,1,8,541
13,86.5,2,16,755
0,63.0,2,3,238
8,88.8,0,9,365
15,100.0,2,20,792
14,95.5,3,10,791
15,100.0,2,20,900
15,65.8,0,14,766
12,100.0,1,14,578
0,87.7,1,4,166
2,60.1,1,3,370
3,65.2,1,10,279
11,87.3,1,16,680
5,84.4,1,8,458
6,72.1,3,7,414
0,52.5,1,3,159
2,73.2,2,8,400
12,70.0,3,16,648
8,78.4,1,9,641
3,67.5,1,13,311
5,77.4,3,7,595
0,33.7,0,2,500
3,69.5,1,7,416
6,75.9,1,10,756
14,67.8,2,24,772
9,55.3,1,14,481
7,51.9,1,10,570
4,42.2,0,3,634
0,59.5,2,5,436
0,65.9,3,5,175
6,81.1,2,11,625
8,65.6,1,8,610
0,31.4,1,6,310
9,77.1,1,13,485
10,100.0,2,15,623
8,100.0,1,12,563
10,100.0,2,9,720
9,70.4,2,16,559
8,82.6,1,11,510
0,79.2,2,6,477
6,91.9,1,5,539
13,55.5,1,19,709
0,79.4,2,3,387
8,25.8,1,10,630
8,77.3,3,21,584
1,53.1,2,3,347
3,80.7,1,13,531
8,67.4,2,12,654
5,67.7,1,5,339
1,73.3,1,6,269
6,29.6,1,11,510
12,92.5,1,13,900
7,83.3,2,8,706
4,63.5,2,8,220
10,86.9,0,9,630
12,79.0,1,13,573
3,43.2,0,9,386
4,64.9,2,5,216
4,72.9,3,12,334
12,88.9,2,10,525
11,71.6,1,10,653
6,79.6,2,7,482
8,74.8,1,10,548
3,89.0,2,11,597
2,52.5,3,14,447
11,54.4,2,10,591
14,100.0,1,18,854
11,76.7,2,12,663
1,64.6,2,7,353
5,54.7,1,10,451
3,66.7,1,7,668
6,58.1,1,11,498
1,71.6,2,6,270
6,69.7,3,12,832
10,88.4,2,10,682
9,79.2,2,10,611
3,78.9,1,7,420
8,83.5,2,12,636
11,78.8,2,10,753
9,55.7,1,11,571
1,42.7,2,5,593
1,54.9,0,3,442
10,71.2,1,10,483
10,82.8,1,14,683
5,61.0,1,2,581
13,96.1,2,11,852
4,62.4,2,5,480
12,67.4,1,16,582
3,44.0,1,9,416
8,64.5,2,15,486
8,91.1,2,9,691
4,73.1,1,3,162
2,51.5,1,5,659
3,43.9,1,7,419
7,62.4,2,9,711
9,63.3,2,12,490
9,96.2,1,11,592
9,51.9,0,10,347
5,78.9,2,5,570
15,86.1,3,20,900
6,64.9,2,11,567
10,94.7,1,15,639
9,78.2,3,15,614
1,43.9,1,5,539
2,65.7,2,10,512
9,95.5,2,13,568
2,58.8,0,5,527
1,40.3,1,9,163
12,96.6,1,20,565
8,84.9,2,14,630
8,66.8,1,16,682
7,89.7,2,11,607
13,91.7,0,9,767
3,64.3,0,11,425
11,85.1,1,17,835
15,78.8,2,14,835
8,53.6,1,13,802
3,47.5,1,9,401
11,100.0,1,10,669
8,86.1,1,14,515
14,97.9,2,21,865
13,70.2,0,17,805
0,48.2,1,4,538
4,54.7,3,4,705
8,87.8,0,8,900
9,61.8,1,12,514
10,83.4,0,11,673
14,91.4,1,23,706
8,70.8,1,13,542
0,66.5,1,5,545
13,87.2,2,9,592
1,75.6,1,5,246
6,57.5,1,12,372
1,46.0,1,5,210
7,73.2,1,7,458
5,58.4,2,8,470
10,77.5,2,18,662
15,100.0,1,10,815
0,55.7,2,5,419
14,81.4,1,16,616
6,72.4,2,14,449
13,100.0,2,21,757
12,73.2,2,16,746
7,59.7,1,12,575
4,67.7,2,10,319
15,93.4,3,19,825
0,59.7,2,6,219
